,,,,,,,,,
full_name_kh,full_name_en,gender,date of birth,place of birth,address (អាសយដ្ឋានបច្ចុប្បន្ន),father_name,mother_name,student_id,stream
ឡុង សុគន្ធា,LONG SOKUNTHEA,ស្រី,12/5/2008,"សង្កាត់ផ្សារថ្មី២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី២, ខណ្ឌដូនពេញ,រាជធានីភ្នំពេញ",ឡុង ផល,ស្រី មុំ,S2026382,វិទ្យាសាស្ត្រ
ស៊ន មករា,SORN MAKARA,ប្រុស,1/30/2006,"សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ស៊ន ជា,មាស ផានិត,S2026383,វិទ្យាសាស្ត្រ
ម៉ែន ម៉ារីណា,MEN MARINA,ស្រី,2/14/2007,"សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",ម៉ែន សំ,លី សារ៉េត,S2026384,វិទ្យាសាស្ត្រ
សិត វណ្ណៈ,SIT VANNAK,ប្រុស,3/22/2008,"សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",សិត សុខ,មាស ផល្លា,S2026385,វិទ្យាសាស្ត្រ
ប៊ុន ស្រីមុំ,BUN SREYMOM,ស្រី,4/12/2006,"សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",ប៊ុន ជឿន,សុខ សារ៉ាន,S2026386,វិទ្យាសាស្ត្រ
ហូ សុជាតិ,HO SOCHEAT,ប្រុស,5/20/2008,"សង្កាត់ផ្សារកណ្ដាល១, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារកណ្ដាល១, ខណ្ឌដូនពេញ,រាជធានីភ្នំពេញ",ហូ វ៉ន,មាស សុខា,S2026387,វិទ្យាសាស្ត្រ
ហ៊ឹម ចាន់នី,HIM CHANNY,ស្រី,6/8/2007,"សង្កាត់កាកាប២, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់កាកាប២, ខណ្ឌពោធិ៍សែនជ័យ,រាជធានីភ្នំពេញ",ហ៊ឹម យ៉ាន,លី សុភ័ក្រ,S2026388,វិទ្យាសាស្ត្រ
ឃុត បញ្ញា,KHUT PANHA,ប្រុស,7/15/2008,"សង្កាត់បឹងទំពុន១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់បឹងទំពុន១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ឃុត ជឿន,ចាន់ សុផល,S2026389,វិទ្យាសាស្ត្រ
រស់ ម៉ារី,ROS MARY,ស្រី,8/10/2008,"សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",រស់ រ៉េត,សោម សុខី,S2026390,វិទ្យាសាស្ត្រ
ចាន់ វិសាល,CHAN VISAL,ប្រុស,9/28/2009,"សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",ចាន់ វិចិត្រ,ហ៊ឹម សុភី,S2026391,វិទ្យាសាស្ត្រ
លី ស្រីពេជ្រ,LY SREY PICH,ស្រី,10/5/2006,"សង្កាត់ផ្សារដេប៉ូ៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារដេប៉ូ៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",លី វណ្ណា,ស៊ន សារី,S2026392,វិទ្យាសាស្ត្រ
វង្ស សុជាតិ,VONG SOCHEAT,ប្រុស,11/12/2008,"សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",វង្ស វ៉ា,ប៉ែន សុធី,S2026393,វិទ្យាសាស្ត្រ
ឡុង ស្រីនិច,LONG SREYNICH,ស្រី,12/25/2008,"សង្កាត់ទួលសង្កែ១, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់ទួលសង្កែ១, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",ឡុង ផល,យ៉ន សុផល,S2026394,វិទ្យាសាស្ត្រ
អ៊ិត វណ្ណៈ,IT VANNAK,ប្រុស,1/14/2009,"សង្កាត់គីឡូម៉ែត្រលេខ៦, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់គីឡូម៉ែត្រលេខ៦, ខណ្ឌឫស្សីកែវ,រាជធានីភ្នំពេញ",អ៊ិត ហុង,សុខ សារ៉ាន,S2026395,វិទ្យាសាស្ត្រ
សុខ ចាន់រ៉ា,SOK CHANRA,ប្រុស,2/18/2008,"សង្កាត់ទឹកល្អក់៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់ទឹកល្អក់៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",សុខ ហេង,មាស ផល្លា,S2026396,វិទ្យាសាស្ត្រ
យ៉ាន ម៉ារីណា,YAN MARINA,ស្រី,3/30/2008,"សង្កាត់បឹងកេងកង១, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់បឹងកេងកង១, ខណ្ឌបឹងកេងកង,​រាជធានីភ្នំពេញ",យ៉ាន ហ៊ាន,ចាន់ សុខា,S2026397,វិទ្យាសាស្ត្រ
ហេង បញ្ញា,HENG PANHA,ប្រុស,4/15/2007,"សង្កាត់ចតុមុខ, ខណ្ឌដូនពេញ,រាជធានីភ្នំពេញ","សង្កាត់ចតុមុខ, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ហេង ផល,ស្រី មុំ,S2026398,វិទ្យាសាស្ត្រ
លឹម ស្រីលីស,LIM SREYLYS,ស្រី,5/10/2006,"សង្កាត់ព្រែកលៀប, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ","សង្កាត់ព្រែកលៀប, ខណ្ឌជ្រោយចង្វារ,រាជធានីភ្នំពេញ",លឹម ឡាយ,យ៉ន សុផល,S2026399,វិទ្យាសាស្ត្រ
ជា វិរៈ,CHEA VIRAK,ប្រុស,6/5/2006,"សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ជា ហ៊ាន,រស់ ផល្លី,S2026400,វិទ្យាសាស្ត្រ
